player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Ayo Dosunmu,threes,1.5,2.0,30.4,12.6,52.0,OVER,2.0,1.9,60.0,40.0,HOT,20,fanduel,130,130,-166,43.5,41.1,56.1,Home: 0.94x | Rested: 1.03x | Mins: 1.14x | News: 0.92x (-8%) | ⚠️ GTD,False,10,1.14,UP,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CLE,13,NEUTRAL,2,14,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.bleachernation.com/bulls/2025/12/16/bulls-ayo-thumb-injuries/ | https://www.fantasypros.com/nba/news/559654/ayo-dosunmu-thumb-questionable-wednesday.php | https://www.si.com/nba/bulls/onsi/news/ayo-dosunmu-provides-health-update-chicago-bulls-cavaliers
Kevin Huerter,points,9.5,10.9,14.7,12.3,65.0,OVER,10.2,12.2,70.0,30.0,COLD,20,fanduel,104,104,-132,49.0,46.3,61.3,Home: 1.12x | Rested: 1.03x | Mins: 0.88x,False,3,0.88,DOWN,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CLE,13,NEUTRAL,2,14,NO_NEWS,,,No recent news (filtered outdated articles),https://www.si.com/nba/bulls/onsi/news/chicago-bulls-injury-update-kevin-huerter-12-1 | https://www.rotowire.com/basketball/headlines/kevin-huerter-injury-iffy-for-sunday-508374 | https://www.fantasypros.com/nba/news/559013/kevin-huerter-adductor-questionable-sunday.php
Darius Garland,pra,30.5,27.2,-10.8,12.1,59.0,UNDER,26.8,24.8,27.0,73.0,HOT,11,fanduel,-102,-125,-102,50.5,47.6,62.6,Rested: 1.03x | Mins: 1.11x | News: 0.95x (-5%) | ⚠️ GTD (likely playing),False,3,1.11,UP,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CHI,2,SMASH,14,2,GTD_LEANING_PLAY,-5.0%,⚠️ GTD (likely playing),"Game-time decision, expected to play",https://www.cbssports.com/nba/players/3042335/darius-garland/ | https://www.foxsports.com/nba/darius-garland-player | https://establishtherun.com/nba-matchups-december-17-3/
Jaren Jackson Jr,pra,27.5,19.8,-27.9,11.9,81.0,UNDER,20.6,24.3,25.0,75.0,COLD,24,fanduel,-118,-108,-118,54.1,51.0,66.0,Home: 0.87x,False,2,0.96,STABLE,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,MIN,19,NEUTRAL,9,17,NO_NEWS,,,No recent news (filtered outdated articles),https://www.therx.com/nba/nba-injuries/ja-morant-injury-update-status-for-grizzlies-upcoming-game-vs-timberwolves/5128/ | https://www.prizepicks.com/playbook-article/ja-morant-injury-update-grizzlies-playing-vs-timberwolves-tonight | https://clutchpoints.com/nba/memphis-grizzlies/what-jaren-jackson-jr-said-zach-edey-replacement-returning-injury-brandon-clarke
Ayo Dosunmu,pra,15.5,22.3,43.6,11.9,65.0,OVER,18.4,21.0,75.0,25.0,COLD,20,fanduel,-118,-118,-108,54.1,51.0,66.0,Rested: 1.03x | Mins: 1.14x | News: 0.92x (-8%) | ⚠️ GTD,False,10,1.14,UP,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CLE,13,NEUTRAL,2,14,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.bleachernation.com/bulls/2025/12/16/bulls-ayo-thumb-injuries/ | https://www.fantasypros.com/nba/news/559654/ayo-dosunmu-thumb-questionable-wednesday.php | https://www.si.com/nba/bulls/onsi/news/ayo-dosunmu-provides-health-update-chicago-bulls-cavaliers
Patrick Williams,points,5.5,8.3,50.7,11.8,65.0,OVER,9.2,7.6,71.0,29.0,HOT,24,fanduel,-128,-128,100,56.1,52.9,67.9,Rested: 1.03x | Mins: 1.12x | News: 0.92x (-8%) | ⚠️ GTD,False,3,1.12,UP,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CLE,13,NEUTRAL,2,14,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.cbssports.com/nba/players/3141865/patrick-williams/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/chicago-bulls-vs-cleveland-cavaliers-regular-season-game-injury-report-whos-playing-whos-out-and-more-december-17-2025/articleshow/126045384.cms | https://sportsradio991cleveland.iheart.com/content/2025-12-17-cavaliers-vs-bulls-injury-report-dec-17/
Donte DiVincenzo,rebounds,3.5,5.1,44.3,11.5,73.0,OVER,4.8,4.1,69.0,31.0,HOT,26,fanduel,-166,-166,130,62.4,58.9,73.9,Home: 1.08x | Rested: 1.03x,False,3,0.98,STABLE,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,MEM,20,NEUTRAL,17,9,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/2203519/donte-divincenzo/ | https://www.wagertalk.com/news/nba/best-nba-player-props-on-december-17-2025-expert-nba-props-today/ | https://fadeawayworld.net/nba/memphis-grizzlies/timberwolves-vs-grizzlies-prediction-preview-injury-report-advantage
Jaylon Tyson,threes,1.5,1.9,25.1,11.3,57.0,OVER,1.4,2.1,64.0,36.0,COLD,22,fanduel,-113,-113,-113,53.1,50.0,64.4,Home: 1.16x | Rested: 1.03x | Mins: 1.15x | News: 0.77x (-23%) | ⚠️ GTD (likely playing) | ⏱️ MINS LIMIT | 🔄 RETURNING,False,3,1.18,UP,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CHI,2,SMASH,14,2,GTD_LEANING_PLAY,-23.1%,⚠️ GTD (likely playing) | ⏱️ MINS LIMIT | 🔄 RETURNING,"Game-time decision, expected to play; Minutes restriction reported",https://www.cbssports.com/nba/players/26777669/jaylon-tyson/ | https://www.salaryswish.com/injury/players/jaylon-tyson | https://foxsportspgh.iheart.com/content/2025-12-17-cavaliers-vs-bulls-injury-report-dec-17/
Naz Reid,points,14.5,19.6,35.5,10.8,68.0,OVER,16.4,13.9,54.0,46.0,HOT,26,fanduel,102,102,-130,49.5,46.7,60.3,Home: 1.08x | Rested: 1.03x | Mins: 1.15x,False,3,1.18,UP,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,MEM,20,NEUTRAL,17,9,NO_NEWS,,,,
Matas Buzelis,points,11.5,15.0,30.9,10.2,71.0,OVER,13.6,13.6,60.0,40.0,NEUTRAL,25,fanduel,-122,-122,-104,55.0,51.9,65.2,Home: 1.10x | Rested: 1.03x,False,3,1.0,STABLE,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,CLE,13,NEUTRAL,2,14,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/29275373/matas-buzelis/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/chicago-bulls-vs-cleveland-cavaliers-regular-season-game-injury-report-whos-playing-whos-out-and-more-december-17-2025/articleshow/126045384.cms | https://www.oddstrader.com/nba/players/matas-buzelis-626906/injuries/
